_id,name,pos_id
1-al-m-tablet-10-s,1 AL M Tablet 10-S,104198
1-al-syrup-30ml,1 AL Syrup 30ml,103301
10-li-20-tablet-10-s,10 LI 20 Tablet 10-s,108269
10-li-m-500-sr-tablet-10-s,10 LI M 500 SR Tablet 10-s,108270
3d-forte-drops-15ml,3D Forte Drops 15ml,95242
7-la-sugar-free-suspension-200ml,7 LA Sugar Free Suspension 200ml,14679
99f-650-tablet-15-s,99F 650 Tablet 15-s,107715
99f-strawberry-&-vanilla-flavour-250-oral-suspension-60ml,99F STRAWBERRY & VANILLA FLAVOUR 250 Oral Suspension 60ml,107714
a-cn-soap-75gm,TELVAS BETA 25 TAB 10 S,90755
a-ret-hc-cream-15gm,A Ret HC Cream 15gm,26183
a-to-z-ns-new-tablet-15-s,A To Z Ns New Tablet 15-s,3703
a-to-z-ns-strawberry-flavour-drops-15ml,A TO Z NS Strawberry Flavour Drops 15ml,3752
a-to-z-woman-capsule-15-s,A TO Z Woman Capsule 15-S,99992
abdifer-xt-tablet-10-s,Abdifer XT Tablet 10-S,95076
abevia-100-capsule-10-s,ABEVIA 100 Capsule 10-s,109181
abevia-200-sr-tablet-10-s,ABEVIA 200 SR Tablet 10-s,109306
abevia-n-tablet-10-s,ABEVIA N Tablet 10-s,109825
abocal-500mg-tablet-15-s,Abocal 500mg Tablet 15-S,93787
absolut-+-capsule-10-s,ABSOLUT + Capsule 10-s,7916
absolut-3-6-9-capsule-10-s,Absolut 3.6.9 Capsule 10-S,90355
absolut-3g-capsule-10-s,Absolut 3G Capsule 10-S,7919
absolut-dm-capsule-10-s,Absolut DM Capsule 10-S,7918
absolut-gold-capsule-10-s,ABSOLUT GOLD Capsule 10-s,109133
absolut-woman-capsule-10-s,Absolut Woman Capsule 10-S,94218
abvida-50mg-tablet-15-s,ABVIDA 50mg Tablet 15-s,110043
abvida-m-50-500mg-tablet-15-s,ABVIDA M 50/500mg Tablet 15-s,108758
ace-proxyvon-cr-tablet-10-s,ACE Proxyvon CR Tablet 10-S,91385
ace-proxyvon-gel-30gm,ACE Proxyvon Gel 30gm,1953
ace-proxyvon-sp-tablet-10-s,ACE Proxyvon SP Tablet 10-S,94404
ace-proxyvon-tablet-10-s,ACE PROXYVON Tablet 10-s,1946
ace-revelol-25-2-5mg-tablet-10-s,ACE Revelol 25/2.5mg Tablet 10-S,31804
aceclo-plus-tablet-15-s,Aceclo Plus Tablet 15-S,7454
